date,price,opening,max,min,volume,delta_percent
25.02.2025,65.49,65.49,65.49,65.49,,-3.35
24.02.2025,67.76,67.76,67.76,67.76,,-0.44
21.02.2025,68.06,68.06,68.06,68.06,,-2.34
20.02.2025,69.69,69.69,69.69,69.69,,0.14
19.02.2025,69.59,69.59,69.59,69.59,,1.28
18.02.2025,68.71,68.71,68.71,68.71,,1.36
17.02.2025,67.79,67.79,67.79,67.79,,0.12
14.02.2025,67.71,67.71,67.71,67.71,,-1.54
13.02.2025,68.77,68.77,68.77,68.77,,-1.77
12.02.2025,70.01,70.01,70.01,70.01,,-0.86
11.02.2025,70.62,70.62,70.62,70.62,,3.40
10.02.2025,68.30,68.30,68.30,68.30,,0.22
07.02.2025,68.15,68.15,68.15,68.15,,-0.25
06.02.2025,68.32,68.32,68.32,68.32,,-0.31
05.02.2025,68.53,68.53,68.53,68.53,,-2.17
04.02.2025,70.05,70.05,70.05,70.05,,2.25
03.02.2025,68.51,68.51,68.51,68.51,,-2.30
31.01.2025,70.12,70.12,70.12,70.12,,-0.40
30.01.2025,70.40,70.40,70.40,70.40,,-0.09
29.01.2025,70.46,70.46,70.46,70.46,,0.57
28.01.2025,70.06,70.06,70.06,70.06,,-0.14
27.01.2025,70.16,70.16,70.16,70.16,,-1.56
24.01.2025,71.27,71.27,71.27,71.27,,-0.22
23.01.2025,71.43,71.43,71.43,71.43,,-1.68
22.01.2025,72.65,72.65,72.65,72.65,,-0.71
21.01.2025,73.17,73.17,73.17,73.17,,-1.40
20.01.2025,74.21,74.21,74.21,74.21,,-3.52
17.01.2025,76.92,76.92,76.92,76.92,,0.83
16.01.2025,76.29,76.29,76.29,76.29,,-1.41
15.01.2025,77.38,77.38,77.38,77.38,,1.43
14.01.2025,76.29,76.29,76.29,76.29,,-0.43
13.01.2025,76.62,76.62,76.62,76.62,,3.99
10.01.2025,73.68,73.68,73.68,73.68,,1.85
09.01.2025,72.34,72.34,72.34,72.34,,1.50
08.01.2025,71.27,71.27,71.27,71.27,,-0.68
07.01.2025,71.76,71.76,71.76,71.76,,0.83
06.01.2025,71.17,71.17,71.17,71.17,,0.78
03.01.2025,70.62,70.62,70.62,70.62,,0.83
02.01.2025,70.04,70.04,70.04,70.04,,2.23
31.12.2024,68.51,68.51,68.51,68.51,,0.50
30.12.2024,68.17,68.17,68.17,68.17,,0.69
27.12.2024,67.70,67.70,67.70,67.70,,0.40
24.12.2024,67.43,67.43,67.43,67.43,,2.09
23.12.2024,66.05,66.05,66.05,66.05,,-1.59
20.12.2024,67.12,67.12,67.12,67.12,,-0.83
19.12.2024,67.68,67.68,67.68,67.68,,-1.20
