period;retail_sales_mln
01.01.2010;1196411,5
01.02.2010;1166650,0
01.03.2010;1270907,2
01.04.2010;1283252,6
01.05.2010;1320554,6
01.06.2010;1339815,5
01.07.2010;1384498,4
01.08.2010;1418420,1
01.09.2010;1412992,4
01.10.2010;1466955,5
01.11.2010;1475351,5
01.12.2010;1776237,7
01.01.2011;1362444,3
01.02.2011;1355632,9
01.03.2011;1466720,8
01.04.2011;1486379,3
01.05.2011;1533791,8
01.06.2011;1553053,3
01.07.2011;1600886,7
01.08.2011;1654434,9
01.09.2011;1645174,6
01.10.2011;1703295,5
01.11.2011;1696049,1
01.12.2011;2046473,3
01.01.2012;1524554,3
01.02.2012;1524379,2
01.03.2012;1640826,1
01.04.2012;1650105,0
01.05.2012;1712886,7
01.06.2012;1749204,5
01.07.2012;1794081,1
01.08.2012;1848721,4
01.09.2012;1849584,9
01.10.2012;1904490,3
01.11.2012;1900264,4
01.12.2012;2295428,3
01.01.2013;1710669,1
01.02.2013;1690368,1
01.03.2013;1840263,4
01.04.2013;1850350,4
01.05.2013;1902286,7
01.06.2013;1940156,8
01.07.2013;1991220,9
01.08.2013;2041058,6
01.09.2013;2019742,2
01.10.2013;2083147,7
01.11.2013;2099450,0
01.12.2013;2517199,6
01.01.2014;1867121,9
01.02.2014;1871319,6
01.03.2014;2054512,7
01.04.2014;2042859,0
01.05.2014;2094042,7
01.06.2014;2118848,4
01.07.2014;2192215,1
01.08.2014;2263758,3
01.09.2014;2241267,9
01.10.2014;2310873,6
01.11.2014;2343613,6
01.12.2014;2954804,5
01.01.2015;2048899,9
01.02.2015;2022891,9
01.03.2015;2194790,7
01.04.2015;2157251,7
01.05.2015;2212055,9
01.06.2015;2221674,4
01.07.2015;2299377,8
01.08.2015;2374910,1
01.09.2015;2321027,9
01.10.2015;2383991,5
01.11.2015;2385591,9
01.12.2015;2896368,5
01.01.2016;2129100,1
01.02.2016;2119230,5
01.03.2016;2246596,0
01.04.2016;2221632,7
01.05.2016;2256633,9
01.06.2016;2282371,0
01.07.2016;2339313,1
01.08.2016;2476400,8
01.09.2016;2406808,6
01.10.2016;2432088,4
01.11.2016;2423856,5
01.12.2016;2906853,3
01.01.2017;2215056,2
01.02.2017;2176698,9
01.03.2017;2361375,7
01.04.2017;2336913,3
01.05.2017;2386422,7
01.06.2017;2421476,2
01.07.2017;2498442,7
01.08.2017;2574108,6
01.09.2017;2558442,1
01.10.2017;2582553,7
01.11.2017;2559744,5
01.12.2017;3074300,9
01.01.2018;2330355,5
01.02.2018;2271805,6
01.03.2018;2486381,1
01.04.2018;2468631,0
01.05.2018;2522567,1
01.06.2018;2573304,2
01.07.2018;2643918,5
01.08.2018;2743964,3
01.09.2018;2719146,8
01.10.2018;2744879,7
01.11.2018;2762866,6
01.12.2018;3311551,4
01.01.2019;2507466,8
01.02.2019;2454583,2
01.03.2019;2690389,6
01.04.2019;2656930,9
01.05.2019;2703164,6
01.06.2019;2741052,0
01.07.2019;2807028,2
01.08.2019;2897451,3
01.09.2019;2856200,0
01.10.2019;2904566,6
01.11.2019;2932544,2
01.12.2019;3472925,9
01.01.2020;2642507,3
01.02.2020;2632937,6
01.03.2020;2953137,2
01.04.2020;2144419,8
01.05.2020;2307020,8
01.06.2020;2671620,8
01.07.2020;2906007,2
01.08.2020;3001317,6
01.09.2020;2953212,2
01.10.2020;3038697,9
01.11.2020;3021124,4
01.12.2020;3601657,4
01.01.2021;2842310,5
01.02.2021;2797184,5
01.03.2021;3084754,7
01.04.2021;3118289,1
01.05.2021;3169553,7
01.06.2021;3206696,0
01.07.2021;3310303,7
01.08.2021;3437156,4
01.09.2021;3413627,6
01.10.2021;3483555,5
01.11.2021;3432761,3
01.12.2021;4175824,6
01.01.2022;3266307,2
01.02.2022;3300032,7
01.03.2022;3774587,0
01.04.2022;3389109,4
01.05.2022;3426331,3
01.06.2022;3439993,7
01.07.2022;3524268,8
01.08.2022;3611473,9
01.09.2022;3501178,3
01.10.2022;3561461,6
01.11.2022;3577198,1
01.12.2022;4205073,9
01.01.2023;3443616,7
01.02.2023;3405860,1
01.03.2023;3726600,5
01.04.2023;3732781,2
01.05.2023;3837240,8
01.06.2023;3936149,2
01.07.2023;4119000,3
01.08.2023;4297149,2
01.09.2023;4188795,2
01.10.2023;4286236,7
01.11.2023;4208689,8
01.12.2023;4973602,7
01.01.2024;4034140,5
01.02.2024;4123737,9
01.03.2024;4485582,2
01.04.2024;4391247,3
01.05.2024;4507423,5
01.06.2024;4571320,4
01.07.2024;4760348,2
01.08.2024;4887872,1
01.09.2024;4777944,0
01.10.2024;4810549,0
01.11.2024;4789679,0
01.12.2024;5651579,2
01.01.2025;4572910,4
01.02.2025;4555678,9
01.03.2025;4941157,9
01.04.2025;4858427,3
01.05.2025;4964502,0
01.06.2025;4987303,6
01.07.2025;5197609,5
01.08.2025;5354107,7
01.09.2025;5172814,2
